lon,lat,elev,time
-74.0825271606,4.6539506912,2568,11:34:01
-74.0825271606,4.6539506912,2568,11:34:03
-74.0825271606,4.6539506912,2568,11:34:05
-74.0825271606,4.6539506912,2568,11:34:07
-74.0825271606,4.6539506912,2568,11:34:09
-74.0821838379,4.6537132263,2564,11:34:13
-74.0819854736,4.6535887718,2563,11:34:15
-74.0818557739,4.6535191536,2563,11:34:17
-74.0817565918,4.6534767151,2563,11:34:19
-74.0816574097,4.6534438133,2563,11:34:21
-74.0814971924,4.6533913612,2563,11:34:23
-74.0813751221,4.6533679962,2563,11:34:27
-74.0812606812,4.6533703804,2563,11:34:31
-74.0811691284,4.6533970833,2563,11:34:35
-74.0811691284,4.6533970833,2563,11:34:37
-74.0811691284,4.6533970833,2563,11:34:39
-74.0811691284,4.6533970833,2563,11:34:41
-74.0811691284,4.6533970833,2563,11:34:43
-74.0810317993,4.6536941528,2564,11:34:47
-74.0809631348,4.6537623405,2564,11:34:51
-74.0809631348,4.6537623405,2564,11:34:53
-74.0809631348,4.6537623405,2564,11:34:55
-74.0809631348,4.6537623405,2564,11:34:57
-74.0809631348,4.6537623405,2564,11:34:59
-74.0809631348,4.6537623405,2564,11:35:01
-74.0809631348,4.6537623405,2564,11:35:03
-74.0809631348,4.6537623405,2564,11:35:05
-74.0809631348,4.6537623405,2564,11:35:07
-74.0809631348,4.6537623405,2564,11:35:09
-74.0809631348,4.6537623405,2564,11:35:11
-74.0809631348,4.6537623405,2564,11:35:13
-74.0805053711,4.6542458534,2565,11:35:17
-74.0804290771,4.6543283463,2565,11:35:21
-74.080368042,4.6543979645,2565,11:35:25
-74.080291748,4.6544713974,2565,11:35:29
-74.0802307129,4.6545596123,2565,11:35:33
-74.0801696777,4.6546669006,2565,11:35:37
-74.0801239014,4.6547665596,2564,11:35:41
-74.080078125,4.6548480988,2565,11:35:45
-74.080078125,4.6548480988,2565,11:35:47
-74.080078125,4.6548480988,2565,11:35:49
-74.080078125,4.6548480988,2565,11:35:51
-74.080078125,4.6548480988,2565,11:35:53
-74.0800018311,4.6549963951,2565,11:35:57
-74.0799560547,4.6550965309,2565,11:35:59
-74.0799179077,4.6551737785,2564,11:36:01
-74.0798873901,4.6552429199,2564,11:36:03
-74.0798568726,4.6553092003,2564,11:36:05
-74.0798110962,4.6554355621,2564,11:36:07
-74.0797653198,4.6555595398,2564,11:36:11
-74.0797424316,4.6556773186,2564,11:36:15
-74.0797119141,4.6557970047,2564,11:36:19
-74.0796890259,4.6559009552,2564,11:36:23
-74.0796890259,4.6559009552,2564,11:36:25
-74.0796890259,4.6559009552,2564,11:36:27
-74.0796890259,4.6559009552,2564,11:36:29
-74.0796890259,4.6559009552,2564,11:36:31
-74.0796890259,4.6559009552,2564,11:36:33
-74.0796890259,4.6559009552,2564,11:36:35
-74.0796890259,4.6559009552,2564,11:36:37
-74.0795288086,4.6563324928,2564,11:36:41
-74.0794677734,4.6564311981,2564,11:36:45
-74.0794677734,4.6564311981,2564,11:36:49
-74.0794677734,4.6564311981,2564,11:36:51
-74.0794677734,4.6564311981,2564,11:36:53
-74.0794677734,4.6564311981,2564,11:36:55
-74.0794677734,4.6564311981,2564,11:36:57
-74.079246521,4.656853199,2566,11:37:03
-74.0791702271,4.6569666862,2566,11:37:07
-74.0791168213,4.6570744514,2567,11:37:11
-74.0791168213,4.6570744514,2567,11:37:15
-74.0791168213,4.6570744514,2567,11:37:17
-74.0791168213,4.6570744514,2567,11:37:19
-74.0791168213,4.6570744514,2567,11:37:21
-74.0791168213,4.6570744514,2567,11:37:23
-74.0791168213,4.6570744514,2567,11:37:27
-74.0793151855,4.6572351456,2568,11:37:31
-74.0794525146,4.6573204994,2568,11:37:33
-74.0795440674,4.6573629379,2568,11:37:35
-74.0796203613,4.6573820114,2568,11:37:37
-74.0796890259,4.657389164,2568,11:37:39
-74.0797958374,4.6573958397,2568,11:37:41
-74.0799255371,4.6573882103,2568,11:37:45
-74.080039978,4.657371521,2569,11:37:49
-74.0801544189,4.6573529243,2569,11:37:53
-74.0801544189,4.6573529243,2569,11:37:55
-74.0801544189,4.6573529243,2569,11:37:57
-74.0801544189,4.6573529243,2569,11:37:59
-74.0801544189,4.6573529243,2569,11:38:01
-74.0801544189,4.6573529243,2569,11:38:03
-74.0801544189,4.6573529243,2569,11:38:05
-74.0801544189,4.6573529243,2569,11:38:07
-74.0806655884,4.6571855545,2572,11:38:13
-74.0807800293,4.6571359634,2572,11:38:17
-74.0807800293,4.6571359634,2572,11:38:19
-74.0807800293,4.6571359634,2572,11:38:21
-74.0807800293,4.6571359634,2572,11:38:23
-74.0807800293,4.6571359634,2572,11:38:25
-74.0807800293,4.6571359634,2572,11:38:27
-74.0807800293,4.6571359634,2572,11:38:29
-74.0807800293,4.6571359634,2572,11:38:31
-74.0808258057,4.6566977501,2572,11:38:35
-74.0807876587,4.6566019058,2571,11:38:39
